question_id,student_answer,score
2,الايمان بالكتب والملائكة والناس أجمعين ,1.0
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,2.5
2,الايمان بالله ,0.5
2,الايمان بملائكته,0.5
2,الايمان بكتبه ,0.5
2,الايمان برسله  ,0.5
2,الايمان باليوم الآخر ,0.5
2,الايمان بالملائكة,0.5
2,الايمان بالكتب ,0.5
2,الايمان بالرسل  ,0.5
2,الايمان بالقدر خيره و شره ,0.5
2,الايمان بقدره  ,0.5
2,ايمان بالله وملائكته وكتبه و رسله و اليوم الآخر والقضاء والقدر خيره و شره,2.5
2,6,0.0
2,الايمان بالله و بملائكته و كتبه و رسله و اليوم الأخر  و الإبمان بالقدر خيره و شره ,2.5
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر,2.0
2,الايمان بالله و الملائكة و الكتب ,1.0
2,الإيمان بالله  و ملائكته و كتبه و رسله و القدر خيره و شره و اليوم الآخر,2.5
2,الإيمان بالله والكتب والرسل والقدر ,1.0
2,الصوم والصلاة ,0.0
2,الايمان بالله,0.5
2,الإيمان بالله و رسله و كتبه,1.0
2,الايمان بالله وملائكته ورسله واليوم الآخر  و القدر خيره ,2.0
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر ,2.0
2,الايمان بالله و بملائكته وبكتبه وبرسله وباليوم الآخر وبالقدر خيره وشره,2.5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.,2.5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,2.5
2,الإيمان بالله وملائكته وكتبه و رسله ,1.5
2,الايمان بالله و القران و الرسل ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالقدر خيره وشره ,0.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,6,0.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر ,2.0
2,6 و هي الإيمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الايمان بالله و الملائكة و الكتب و الرسل ,1.5
2,6,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله والملائكة والرسل والكتب والإيمان بالقدر خيره وشره,2.0
2,الايمان بالله و رسله و كتبة وملائكته و اليوم الاخر والايمان بالقضاء خيره و شره .,2.5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشر,2.5
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر و القدرخيره و شره,2.5
2,الايمان بالله وملائكته ورسله وكتبه والقدر خيره وشره,2.0
2,أن تؤمن بالله وملائكته وكتبه ورسله واليوم  الآخر وان تؤمن بالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,2.5
2,الإيمان بالله وملائكته وكتبه ورسله والقدر خيره وشره,2.0
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته وكتيه ورسله وباليوم الاخر وبالقدر خيره وشره ,2.5
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,2.5
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,2.5
2,غسل اليدين ثلاث مرات و المضمضة و الإستنشاق و غسل اليدين الى المرفق و غسل الوجه و مسح الرأس و الأذنين ا وغسل الرجلين ,0.0
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,2.5
2,الإيمان بالله وملائكته وكتبه ورسله ةاليوم الآخر والقدر خيره وشره,2.5
2,ان تأمن بالله وملائكته وكتبه ورسله,1.5
2,ان تؤمن بالله وملاءكته وكتبه ورسله واليوم الآخر ,2.0
2,الايمان بالله_ وملائكته_ وكتب_ ورسل_وبيوم الاخر_وقدر خيره وشره,2.5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره ,2.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وكتبه ,1.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر ,2.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته ,1.0
2,6,0.0
2,الايمان بالله و الملائكة و الرسل و الكتب و اليوم الآخر و القدر خيره و شره,2.5
2,الايمان بالله و القران و الرسول ,0.5
2,أركان الإيمان ستة وهي الإيمان بالغيب وبالله والملائكة ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الايمان بالله و رسله و كتبه و ملائكته و الآخرة ,2.0
2,الايمان بالله وملائكته وكتبه ورسوله واليوم الاخر وبالقدر خيره و شره,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,الايمان بالله و الملائكة و الرسل و القرآن و الآخرة ,1.5
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وبالملائكة وبالكتب السماوية و بالقدر وبيوم القيامة ,2.0
2,الإيمان بالله وملائكته وبيوم القيامة,1.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.0
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته والقران والانجيل والتوراة والزبور وبجميع الانبياء والرسل وبالقدر وبيوم التغابن ,2.5
2,الإيمان بالله وملائكته وبيوم القيامة ,1.0
2,الإيمان بالله وملائكته وكتبه ,1.0
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وملائكته وبحدوث الساعة ,1.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القضاء و القدر ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.0
2,الإيمان بالله وملائكته وبحدوث الساعة ,1.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,2.5
2,خمسة وهي الصلاة والزكاة والحج والصيام والشهادة,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.0
2,6,0.0
2,الإيمان بليلة القدر ويوم القيامة ,0.5
2,الايمان بالله و الملائكة و الرسل و اليوم الآخر و الكتب ,2.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.0
2,6,0.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الايمان بالله و الملائكة و الكتب و الرسل و القضاء و القدر و اليوم الاخر,2.5
2,أركان الإيمان ستة ,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر ,1.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,2.5
2,"أركان الإيمان ست وهي:
ان تؤمن بالله وملاءكته وكتبه ورسله واليوم الآخر وبالقدر خيره وشره. ",2.5
2,ان تومن بالله وملائكته وكتبه ورسله واليوم الاخر قدر خيره وشره ,2.5
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته وكتبه ورسله وباليوم الاخر وبالقدر خيره و شره,2.5
2,الإيمان ما رسخ في القلب وعملت به الجوارح وصدقه العقل . له ستة أركان واجبات.  الإيمان بالله شرط الباقيات. ثم الإيمان بملائكته وكتبه ورسله وباليوم الاخر وبالقدر خيره و شره,2.5
2,إيمان بالله وملائكته وكتبه ورسله أجمعين وبالقدر و باليوم الاخر,2.5
2,أركان الإيمان ستة.  الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,2.5
2,لا أعلم ,0.0
